trajectory,method,N_waypoints,cross_track_rms,cross_track_max,wp_error_mean,total_saturation_rate,actuator_smoothness,waypoints_reached,steps
s_curve,uniform_N5,5,21312.80895339207,21326.220465290007,58053.72915328042,0.5,986.0,0,2
s_curve,uniform_N10,10,21272.929219394777,21281.834098499636,57700.527166203436,0.5,987.0,0,2
s_curve,uniform_N20,20,21358.995516011317,21389.310201530192,57672.14728770197,0.0,1650.0,0,2
s_curve,uniform_N40,40,17616.65022074434,23311.884024726613,40460.289040131276,0.2048611111111111,173342.0,1,576
s_curve,uniform_N80,80,21395.18006120961,21395.18006120961,57652.72420965652,nan,nan,0,1
s_curve,curvature_N5,5,16155.813267725682,25336.863286848165,40202.329805210145,0.10256410256410256,107923.0,1,351
s_curve,curvature_N10,10,21381.058097721987,21381.058097721987,57490.973745743955,nan,nan,0,1
s_curve,curvature_N20,20,15133.61449797616,24589.029761634465,40392.80512540686,0.009708737864077669,77197.0,1,309
s_curve,curvature_N40,40,14526.713170616804,24605.7184599597,38858.4376644923,0.008771929824561403,100727.0,1,342
s_curve,curvature_N80,80,33162.30016411842,50942.53763848385,24942.911070638263,0.0775,653492.0,20,2000
s_curve,rdp_eps50,50,21290.285810917554,21300.669052533893,57311.453761860306,0.5,1130.0,0,2
s_curve,rdp_eps100,30,21222.919196651736,21232.11244014699,57534.46917299504,0.0,1721.0,0,2
s_curve,rdp_eps200,26,21415.65948484426,21415.65948484426,57148.00818040784,nan,nan,0,1
s_curve,rdp_eps500,14,21223.39845733073,21230.725259420342,57615.51891995642,0.6666666666666666,2615.0,0,3
s_curve,dp_no_bandwidth,198,21303.22504513056,21317.49091809128,57370.32865090732,0.5,2506.0,0,2
s_curve,dp_with_bandwidth,90,21224.95689822144,21234.779598801073,57625.907523803195,0.25,2317.0,0,4
s_curve_long,uniform_N5,5,21312.80895339207,21326.220465290007,97300.895558885,0.5,986.0,0,2
s_curve_long,uniform_N10,10,21272.929219394777,21281.834098499636,97047.85434149804,0.5,987.0,0,2
s_curve_long,uniform_N20,20,21358.995516011317,21389.310201530192,96948.02089470325,0.0,1650.0,0,2
s_curve_long,uniform_N40,40,9455.412791536779,23311.884024726613,32059.95890489508,0.124,518972.0,15,2000
s_curve_long,uniform_N80,80,21395.18006120961,21395.18006120961,96890.3939232902,nan,nan,0,1
s_curve_long,curvature_N5,5,16155.813267725682,25336.863286848165,80201.97818255174,0.10256410256410256,107923.0,1,351
s_curve_long,curvature_N10,10,21381.058097721987,21381.058097721987,96834.47397537557,nan,nan,0,1
s_curve_long,curvature_N20,20,15133.61449797616,24589.029761634465,80239.86315915939,0.009708737864077669,77197.0,1,309
s_curve_long,curvature_N40,40,15083.699263248707,24605.7184599597,79994.23793711037,0.00946372239747634,90604.0,1,317
s_curve_long,curvature_N80,80,33162.318419740775,50942.53763848385,63608.48698840292,0.078,624408.0,10,2000
s_curve_long,rdp_eps50,94,21290.285810917554,21300.669052533893,95945.4442124651,0.5,1130.0,0,2
s_curve_long,rdp_eps100,58,21222.919196651736,21232.11244014699,96905.55712083183,0.0,1721.0,0,2
s_curve_long,rdp_eps200,46,21415.65948484426,21415.65948484426,95016.07175260657,nan,nan,0,1
s_curve_long,rdp_eps500,26,21223.39845733073,21230.725259420342,96952.1960238941,0.6666666666666666,2615.0,0,3
s_curve_long,dp_no_bandwidth,394,21303.22504513056,21317.49091809128,96605.03352711862,0.5,2506.0,0,2
s_curve_long,dp_with_bandwidth,178,21224.95689822144,21234.779598801073,96848.33178338237,0.25,2317.0,0,4
circle,uniform_N5,5,16347.489856095463,16360.868246834283,20896.790475615267,0.5,1130.0,0,2
circle,uniform_N10,10,16294.064884805608,16302.968841661255,21207.642930738362,0.5,1130.0,0,2
circle,uniform_N20,20,16394.245265839825,16424.41588636282,21452.91011495622,0.0,1650.0,0,2
circle,uniform_N40,40,14602.732812724407,19363.120502091573,10962.461168802425,0.0,523928.0,0,2000
circle,uniform_N80,80,16450.655315448596,16450.655315448596,21650.19399323591,nan,nan,0,1
circle,curvature_N5,5,13534.805282988316,21326.67277548353,4853.907745266707,0.031545741324921134,98698.0,1,317
circle,curvature_N10,10,16432.28455919258,16432.28455919258,21346.436239303293,nan,nan,0,1
circle,curvature_N20,20,12395.737330848226,20432.589534238225,6028.650255854845,0.17142857142857143,80612.0,0,280
circle,curvature_N40,40,12417.481786345832,20452.670030754354,6187.485304795655,0.15087719298245614,70874.0,1,285
circle,curvature_N80,80,27721.453100351773,39350.15341502117,4372.195830483033,0.0895123580494322,471084.0,2,1497
circle,rdp_eps50,2,16317.170738435518,16327.54827099559,18100.897083723212,0.5,1130.0,0,2
circle,rdp_eps100,2,16223.125279330863,16232.290578271422,18028.366531224427,0.0,2281.0,0,2
circle,rdp_eps200,2,16477.281378519812,16477.281378519812,18265.554225667496,nan,nan,0,1
circle,rdp_eps500,2,16224.30281374332,16231.592858964555,18025.373264220972,0.6666666666666666,2697.0,0,3
circle,dp_no_bandwidth,2,16335.249983463762,16349.487744238964,18111.485627319005,0.5,2539.0,0,2
circle,dp_with_bandwidth,2,16225.518386645312,16235.319282552708,18026.07601957074,0.25,2389.0,0,4
figure_eight,uniform_N5,5,17700.65822416303,17715.596940262327,20847.742129496553,0.5,1130.0,0,2
figure_eight,uniform_N10,10,17651.587225090738,17662.139117664636,21106.844023541504,0.5,1130.0,0,2
figure_eight,uniform_N20,20,17747.557640106264,17776.560993437713,21298.552721365588,0.0,1650.0,0,2
figure_eight,uniform_N40,40,15997.531968604799,20648.68659133902,9120.58923448856,0.0,555656.0,0,2000
figure_eight,uniform_N80,80,17798.551218210392,17798.551218210392,21465.5933894486,nan,nan,0,1
figure_eight,curvature_N5,5,14489.683623460327,22382.83576386406,4216.047492883009,0.022508038585209004,95966.0,0,311
figure_eight,curvature_N10,10,17781.573074220414,17781.573074220414,21124.371953782385,nan,nan,0,1
figure_eight,curvature_N20,20,13143.039207627391,21532.651491031545,4468.562878070341,0.11188811188811189,65394.0,1,286
